#devopsagainsthumanity,http://devopsagainsthumanity.com
White Cards (noun or gerund - single word or phrase),Black Cards (direct question or fill-in-the-blank statement with one blank or two) (5 underscores = blank)
Brogrammers,_____ as a service.
Command-line magic,_____ dooms any project to epic failure.
Continuous integration,"_____ is a feature, not a bug."
Copypasta,_____ is for closers.
The Cult of Mac,_____ is weaponized privilege.
Degraded performance in some AWS availability zones,_____ is webscale.
Developers,_____ logs or it didn't happen.
DevOps,_____ with one weird trick.
Eating sushi with Andrew Clay Shafer,"_____, as one does."
fuckedcompany.com,"_____, for some values of _____."
Git,Ask Me Anything about _____.
Write leadership essay !!,Called on account of _____.
Write Capstone ASsignments !!,Disrupting the established players in _____ via _____.
,Doge _____.
Write Resume !!,Employees must _____ before returning to work.
Study exams for Lpic,Enterprise _____ in the cloud.
Finish Juniper,Enterprise-ready _____.
MongoDB,Epic yak-shave caused by _____.
Node.js,Facebook has acquired _____ for $10b and _____.
NPM,Free as in _____.
Pareto Inefficient Nash Equilibriums,Glitter-bombed with _____.
Posting on Etsy's codeascraft blog,"Hi, I'm Troy McClure. You may remember me from such commit messages as _____ and _____."
Python,How even is _____ formed?
Python datetime module,I can haz _____.
Rebasing the entire fucking repo,I don't own any jeans skinny enough to wear to a _____ meetup.
RecruiterFail,I saw the best minds of my generation _____.
Ruby,"If _____ is the answer, you are asking the wrong question."
Running out of IPv4 addresses,"If you're using _____, you're gonna have a bad time."
Sysadmins,Nobody ever got fired for buying _____.
The Stanford of Canada,Running Windows in production leads to _____.
Thought leadership,The Internet is for cat memes and _____.
Twitter,"""Our release schedule doesn't have time for _____."""
Unicode errors,The Internet of Things will be controlled by _____.
Unknown source in your stack trace,The only thing necessary for evil to triumph is _____.
Waiting for console.aws.amazon.com,Uber is on surge pricing because of _____.
Women in tech,WARN: _____ has been deprecated.
Yet another package manager,Will merge pull requests for _____.
Our Release Engineer,Zero-day _____.
DevOps Days,Time to schedule the postmortem for _____. .
Bullshit.io,It worked on my _____.
OpenSSL,"_____, the only thing worse than recruiting spam."
Heartbleed,_____ - the idiots guide to _____ and _____.
The NSA,Put some ______ on it
O'Reilly,Wrap it with the _____ duct tape
Edward Snowden,But Google is using _____ so we should too!
DigitalOcean,_____ is the new _____.
Magic Spray,Etsy says we should _____ everything.
Web scale,xkcd.com just made a hilarious comic making fun of _____.
Functional programming,This isn't going to be all unicorns and _____.
Stack trace generator,Apple just patented _____.
Perl 6,When I was a kid we didn't have _____.
COTS Shareware,
2400 baud modem,DevOps: Now with 100% more _____!
A squirrel with a taste for fiber,Main benefits of automation: _____ and _____.
Zombie processes,Chef convergence failed due to _____.
CAP Theorem,...and then there was the time I found _____ on the root partition.
Snowflake server,We run production on _____ and _____.
A Cisco router with a flaky chip,Management said it's OK to deploy _____ at 5pm on Friday 
NullPointerException: null,Did you know that we have _____ on pager rotation?
Apache 1.2 running as root,"""There was no good solution for _____, so we built our own."""
More buzzwords than you can shake a scrum at,Amazon built a datacenter on the moon to lessen the risk of _____ causing problems.
A GitHub Outage,"In order to improve security, we're upgrading to _____."
VisualBasic DLLs,The two pillars of our Continuous Deployment pipeline are _____ and _____.
A JAR full of spaghetti,I got paged at 3am because of _____.
An epic caffeine bender,The most stable part of our infrastructure? _____
A WSDL from 2003,"When I told Jez Humble about our _____, he actually cried."
The Sales & Marketing department,"When I write a book about my experiences, it'll be called ""_____, the good parts"""
Business logic in PowerPoint slides,Restoring from backups failed due to _____.
/var/log symlinked to /dev/null,My two most indispensable tools are _____ and _____.
Hypervisors running hypervisors running hypervisors,The production datacenter burned down because of _____.
An angry badger with an electromagnet on its back,"It turns out that the button labeled ""Don't Push"" actually does _____."
A shared root password,You should think of your servers like _____ and not like _____.
Private keys in /var/www,I find Java to be way too _____.
Parsing HTML with regex,It's like trying to herd _____.
"A 3.5"" floppy disk",I ended up having to buy a replacement _____ on eBay.
An untested restore process,_____ is more memory than anyone will ever need on a computer.
A cron job that reboots the server every 5 minutes,_____ Driven Development.
Apache Zookeeper on a 286,RIAA is suing me for downloading _____.
Sadness as a Service,Security? We've got that! We use _____.
Cloud-based business strategy,I came up with an awesome regex that converts _____ to _____.
Cloud 2.0,"When I hooked the 3D printer up to the Internet, it accidentally created _____."
The next Y2K,My next blog post will be about how we used _____ to create _____.
